0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.762435645690320629e-02,1.304406590106963915e+00,1.302342446176990354e+00,3.014032386637339328e-02
0.000000000000000000e+00,0.000000000000000000e+00,6.762435645690320239e-04,9.999575192902899756e-01,6.521940596743075469e-03,6.511620023237673152e-03,1.506994852767403565e-04,-8.807006980922808077e-04,8.820965621412696963e-04,1.439871791543068658e-01,1.415902328072166760e+00,1.414792912011989090e+00,1.040633019080751953e-01
9.945660734595714451e-06,-9.961080384930294811e-06,2.116100505239881715e-03,9.998149942593755890e-01,1.360302752076138037e-02,1.358251213631221990e-02,6.710145013122270239e-04,-1.639570423880724924e-03,1.641987952950054504e-03,2.199261628048314043e-01,1.278255082334495141e+00,1.279032302425173961e+00,2.021052080484708469e-01
5.331214815314735023e-05,-5.335742547203186471e-05,4.314628705006495063e-03,9.995991396485807146e-01,2.000190352581287037e-02,1.996638276772943338e-02,1.681495861978676235e-03,-1.786573563063405213e-03,1.786310549356470408e-03,2.956240491320101804e-01,1.216583595496676828e+00,1.220022130387203863e+00,2.954033203214461722e-01
1.536173682272313839e-04,-1.535980084431045754e-04,7.267574150814717221e-03,9.993150102454200212e-01,2.610077479051083407e-02,2.604389333363694992e-02,3.158397308291394871e-03,-1.478740415335694962e-03,1.458714387910809655e-03,3.712316485700509761e-01,1.137058495916737577e+00,1.143953517635344808e+00,3.913128276969136676e-01
3.326240268397559008e-04,-3.321896816181079716e-04,1.097132721663010221e-02,9.989770691331480990e-01,3.181409983676791731e-02,3.172566951748150010e-02,5.114713226480282343e-03,-6.296121421542729335e-04,5.520188718440845969e-04,4.468318489205255206e-01,1.066245552061215962e+00,1.077205883701732425e+00,4.872615015722752130e-01
6.109805806179804608e-04,-6.093281085039710171e-04,1.542235542996619677e-02,9.985924773736524207e-01,3.718855486402036781e-02,3.705488670410531094e-02,7.550555689696127927e-03,7.460620510480485195e-04,-9.479668081072681243e-04,5.224846524307023010e-01,9.962916234428805806e-01,1.011805754124971868e+00,5.837359711293707010e-01
1.008138084215260202e-03,-1.003785748426029795e-03,2.061714472455476732e-02,9.981683065500943641e-01,4.223180909021895940e-02,4.203472538054449370e-02,1.046842691460473686e-02,2.658842661646636588e-03,-3.087869452927484611e-03,5.929829191495975538e-01,5.739382347001265039e-01,1.311976727979302870e+00,6.317438539486507354e-01
1.538009924986545596e-03,-1.528616193535298033e-03,2.650002866993118877e-02,9.977077428530218839e-01,4.515902498015870320e-02,4.847788307018998516e-02,1.377741510598770591e-02,3.004903950356175007e-03,-8.058349927230534782e-03,6.611946770121011063e-01,7.955310218303007774e-02,1.671406360294028115e+00,6.821403467723934355e-01
2.217593312693419243e-03,-2.194859776325610960e-03,3.304369145491539705e-02,9.971969429764693249e-01,4.560423475405556842e-02,5.666512456704535239e-02,1.753779771471635288e-02,1.266172319655739682e-03,-1.652377951916498416e-02,7.282562713335910543e-01,-4.428612060155246444e-01,2.036544530514450280e+00,7.390139070196517501e-01
3.069761840614718303e-03,-3.006695276277141123e-03,4.023242677087351948e-02,9.965951767824428043e-01,4.342419154996463027e-02,6.660829347566825376e-02,2.181119993174932339e-02,-2.757590407772230780e-03,-2.887575150703049556e-02,7.947117194922483918e-01,-9.817764467500382786e-01,2.396724362514322415e+00,8.006089229481130332e-01
4.123477009848384653e-03,-3.960200444145552459e-03,4.805683251698632252e-02,9.958312916503423429e-01,3.853344256083834907e-02,7.826373965151181555e-02,2.664581449649824213e-02,-9.197598193268725214e-03,-4.543182504849122005e-02,8.608211791400632862e-01,-1.530575832814000226e+00,2.745818500344992863e+00,8.654316207061996113e-01
5.413610301611693210e-03,-5.042699635776142983e-03,5.651141272473100829e-02,9.948040997864117108e-01,3.088052094901950692e-02,9.155395269283485293e-02,3.207912437056414240e-02,-1.813748232672517113e-02,-6.646564765610409042e-02,9.266452009388036481e-01,-2.084149250224476724e+00,3.080070160528203260e+00,9.323144667044502842e-01
6.980616219505500833e-03,-6.232223812822326216e-03,6.559278501013753038e-02,9.933836853377672194e-01,2.044164049477364964e-02,1.063783133643569356e-01,3.813984116895387938e-02,-2.962328100381782237e-02,-9.221272943779927622e-02,9.847999184993941890e-01,-2.140458547432626535e+00,2.903445898981270368e+00,9.694498511529534568e-01
