0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.762435645690320239e-04
9.945660734595714451e-06,-9.961080384930294811e-06,2.116100505239881715e-03
5.331214815314735023e-05,-5.335742547203186471e-05,4.314628705006495063e-03
1.536173682272313839e-04,-1.535980084431045754e-04,7.267574150814717221e-03
3.326240268397559008e-04,-3.321896816181079716e-04,1.097132721663010221e-02
6.109805806179804608e-04,-6.093281085039710171e-04,1.542235542996619677e-02
1.008138084215260202e-03,-1.003785748426029795e-03,2.061714472455476732e-02
1.538009924986545596e-03,-1.528616193535298033e-03,2.650002866993118877e-02
2.217593312693419243e-03,-2.194859776325610960e-03,3.304369145491539705e-02
3.069761840614718303e-03,-3.006695276277141123e-03,4.023242677087351948e-02
4.123477009848384653e-03,-3.960200444145552459e-03,4.805683251698632252e-02
5.413610301611693210e-03,-5.042699635776142983e-03,5.651141272473100829e-02
6.980616219505500833e-03,-6.232223812822326216e-03,6.559278501013753038e-02
8.854533764624928846e-03,-7.494676147492333046e-03,7.522688111248160281e-02
1.105691153885971292e-02,-8.792387744116073045e-03,8.531597684311797991e-02
1.360445344179766688e-02,-1.009119278674508804e-02,9.577519687134984638e-02
1.650950324376439238e-02,-1.136048264220532872e-02,1.065303571186749093e-01
1.978092641236885163e-02,-1.257251001783287955e-02,1.175160773221336080e-01
2.342465252691630639e-02,-1.370204357626720465e-02,1.286744261039487747e-01
2.744411746459051588e-02,-1.472605521879541066e-02,1.399538086558255456e-01
3.184060907006019264e-02,-1.562348137997966388e-02,1.513080827844575094e-01
3.661355048089497827e-02,-1.637503000157516236e-02,1.626958533477290414e-01
4.176073863665639985e-02,-1.696302153928062884e-02,1.740799090756713907e-01
4.727855027584523806e-02,-1.737125384738746198e-02,1.854267721487821707e-01
5.316212337642030328e-02,-1.758488367728038362e-02,1.967063370492009577e-01
5.940551908347382892e-02,-1.759031960683754905e-02,2.078915800642338885e-01
6.600186716861158875e-02,-1.737512287182983728e-02,2.189583246785303805e-01
7.294349672838688903e-02,-1.692791385947432781e-02,2.298850511350818415e-01
8.022205297217947784e-02,-1.623828301858419240e-02,2.406527408471428875e-01
8.782860044175826164e-02,-1.529670569352344252e-02,2.512447482362220597e-01
9.575371274762779772e-02,-1.409446094352216454e-02,2.616466940573135003e-01
1.039875488274976251e-01,-1.262355480051532801e-02,2.718463754301787549e-01
1.125199157743799472e-01,-1.087664867746288358e-02,2.818336886867144897e-01
1.213403184045573902e-01,-8.846993790184883716e-03,2.916005618194111304e-01
1.304379959086518492e-01,-6.528372519877879629e-03,3.011408938163402937e-01
1.398019461305471112e-01,-3.915047637480521120e-03,3.104504985296570041e-01
1.494209382337748915e-01,-1.001720248110584809e-03,3.195270509784649549e-01
1.592835147326878142e-01,2.216502796135418410e-03,3.283700341609677165e-01
1.693779840789603752e-01,5.744131416387372041e-03,3.369806845704572118e-01
