2.617993877991494173e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.617993877991494173e+03
2.617993877991494173e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.617993877991494173e+03
2.608402031577035359e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.588120441246443079e+03
2.522790500703148155e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.524209693840844011e+03
2.507265007176588824e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.506404090427690790e+03
2.507607927781525177e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.504429653085268910e+03
2.512304483348697886e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.506693153846742916e+03
2.517906648959622544e+03,2.617993877991494173e+03,2.617993877991494173e+03,2.509961116336406576e+03
2.523454201751145774e+03,2.617993877991494173e+03,2.562020793358406081e+03,2.513319067951368197e+03
2.500655394970888665e+03,2.617993877991494173e+03,2.438869689648303392e+03,2.507878886191646416e+03
2.440089706215650949e+03,2.617993877991494173e+03,2.413873628364357955e+03,2.487653836252140991e+03
2.417535035438902923e+03,2.485251284671870508e+03,2.381238387494714971e+03,2.475435661576561870e+03
2.377590809019519384e+03,2.327378273538258327e+03,2.346274906152901622e+03,2.404558593546204065e+03
2.322852890290276264e+03,2.261268657502171664e+03,2.290804366320337067e+03,2.313208474673054752e+03
2.267301007387441587e+03,2.194458147488179748e+03,2.234484032130182641e+03,2.253639725955220456e+03
2.215314200656507637e+03,2.140432157622999966e+03,2.182053239155000938e+03,2.198558622955053124e+03
2.167779943559208732e+03,2.091587929439726850e+03,2.133855758707582481e+03,2.150359753022845780e+03
2.124329909309392860e+03,2.047584784217096740e+03,2.089798100033630362e+03,2.106678453001476555e+03
2.084526907141163974e+03,2.007420689774323819e+03,2.049396821283734880e+03,2.066860318403200836e+03
2.047901273430077481e+03,1.970547118935520302e+03,2.012217735301194125e+03,2.030287327341925902e+03
2.014056110945695991e+03,1.936532363471874987e+03,1.977877481559911757e+03,1.996519310071037808e+03
1.982666641048237807e+03,1.905050278581181374e+03,1.946065181216590872e+03,1.965216051885545312e+03
1.953477123839024443e+03,1.875852149344531881e+03,1.916536231596572861e+03,1.936117592351793974e+03
1.926291959325818880e+03,1.848751730458515794e+03,1.889104356118280975e+03,1.909028156622067172e+03
1.900966658941011474e+03,1.823613912230440519e+03,1.863632885051056519e+03,1.883804540151981200e+03
1.877399420738261369e+03,1.800345685839712587e+03,1.840026628951980456e+03,1.860346741052338075e+03
1.855523588826768446e+03,1.778888553647229628e+03,1.818224562015401716e+03,1.838590103834251977e+03
1.835300983084501922e+03,1.759211972153834040e+03,1.798193310904441205e+03,1.818498568271432987e+03
1.816716012150456891e+03,1.741307585339697653e+03,1.779921365921167990e+03,1.800058782069001154e+03
1.799770468517534255e+03,1.725184089443130688e+03,1.763413918308095617e+03,1.783274914591412653e+03
1.784478910742863263e+03,1.710862615630681830e+03,1.748688234488476610e+03,1.768164052057143863e+03
1.770864549644867338e+03,1.698372545402674859e+03,1.735769490853773732e+03,1.754752081521964783e+03
1.758955568071940206e+03,1.687747693885134595e+03,1.724687006467117044e+03,1.743069989988096722e+03
1.748781816038273064e+03,1.679022812440647385e+03,1.715470824371081108e+03,1.733150519943401150e+03
